trackingnum,borough,cd,commdist,type_br,type,priority,agencyacro,agency,need,request,explanation,sitename,address,streetsegment,streetcross1,streetcross2,supporters1,supporters2,parent_tracking_code,agyresponsecat,agyresponse,unique_id,geo_function
104202412C,1,04,204,C, ,12,DPR,846,Workforce development,Reconstruct or upgrade a building in a park,Claremont Park-Reconstruct/renovate both comfort stations,Claremont Park,,"",,,,,,5,Parks Department funds are insufficient for this purpose. We recommend this request be brought to the attention of your Council Members.,121,GEOCODE FAILED
101202414C,1,01,201,C, ,14,DPR,846,Garbage collection and recycling,"Enhance park safety through design interventions, e.g. better lighting",Enhance lighting in all district parks and playgrounds so that there will be a year round safe environment for the community to use and enjoy.,,,"",,,,,,3,Parks Department funds are insufficient for this purpose. We recommend this request be brought to the attention of your Council Members.,27,GEOCODE FAILED
101202415E,1,01,201,E, ,15,DPR,846,Other budget request,Other programs to address public health issues requests,Additional PEP Officers.  There exists a need for additional Park Enforcement Officers throughout the Bronx.  Additional permanent Officers would allow improved security and better enforcement of quality-of-life concerns throughout the Bronx.,,,"",,,,,,5,The Parks Department would support this request for personnel.,30,GEOCODE FAILED
101202416C,1,01,201,C, ,16,DOE,40,Schools and educational facilities,Renovate or upgrade an elementary school,Restoring the curbside E-waste collection program.,,,"",,,,,,10,Unable to prioritize funding for this project request at this time.,31,GEOCODE FAILED
101202416E,1,01,201,E, ,16,DSNY,827,Garbage collection and recycling,Provide more frequent garbage or recycling pick-up,There is a need for increased sanitation services throughout the district,,,"",,,,,,6,This is not a budget request. The matter in question is an issue of service delivery and/or agency policy.  Contact the Department of Sanitation to determine how best to resolve this issue.,32,GEOCODE FAILED
101202417C,1,01,201,C, ,17,DOT,841,Transportation infrastructure,Repair or provide new street lights,"Increase City Park Workers and A.P.S.W's for enhanced park maintenance.  In order to increase the level of service in parks and to keep up with new additions  to the parks system, additional City Parks Workers and A.P.S.W's are requested to service the parks throughout the borough.  These CPW's and CSA's will be fixed posted and be placed on mobile crews as well as cut grass.",,,"",,,,,,10,Please contact the Borough Commissioner's office to discuss this request.,33,GEOCODE FAILED
101202417E,1,01,201,E, ,17,DPR,846,Street trees and forestry services,"Forestry services, including street tree maintenance","Parks Department needs to add services to regularly prune, mulch and maintain tree pits throughout the district, that include the commercial corridors along 138th Street.",,,"",,,,,,8,Further study by the agency of this request is needed.,34,GEOCODE FAILED
101202418C,1,01,201,C,site,CS,NYPL,37,Schools and educational facilities,"Create a new, or renovate or upgrade an existing public library (NYPL)","Funds for Partial Renovation Improvements of the Mott Haven Public Library in the District. The partial renovations to be undertaken at the Mott Haven Library are interior spaces, electrical upgrade, new furniture and equipment. Also to totally gut the entire cellar except for the Boiler Room, Fuel Tank Room and Elevator Machine Room and create individual offices or work rooms of which one would be the 600sf OST room. (Previous Tracking Code: 101201601C)",,,"",,,,,,9,Work on this project/program has either been completed or will be finished in FY 2024.,35,GEOCODE FAILED
102202401E,1,02,202,E, ,01,HRA,96,Schools and educational facilities,Other request for services for vulnerable New Yorkers,"The District can benefit from more services providing resources. The District is one of the highest not only in the Bronx, but throughout the City in terms of Obesity, Diabetes and Hypertension. Social and Economic conditions, we rank the as one of the highest in poverty and school absenteeism.",,,"",,,,,,7,The Agency serves more than 3 million low-income New Yorkers through a broad range of programs to address poverty and income inequality and prevent homelessness.,38,GEOCODE FAILED
102202402C,1,02,202,C, ,02,NYPD,56,After school programs,Provide surveillance (Argus) cameras,"Increase Argus cameras throughout the District, including Parks in the District.",,,"",,,,,,3,"Argus cameras are funded via allocations from elected officials for use within their districts.  Specific location recommendations should be provided to the local precinct commander for submission to the Information Technology Bureau once funding is allocated.  The NYPD will attempt to accommodate specific location requests whenever funding is provided, but reserves the right to place cameras as appropriate due to current crime trends and operational needs.",39,GEOCODE FAILED
102202402E,1,02,202,E, ,02,DYCD,260,NYPD facilities and equipment,"Provide, expand, or enhance Cornerstone and Beacon programs (all ages, including young adults)",Create more programing to decrease at-risk engagement and promote social growth.,,,"",,,,,,4,DYCD has increased funding in this service area.,40,GEOCODE FAILED
102202403C,1,02,202,C, ,03,HPD,806,NYPD staff and training resources,Provide more housing for extremely low and low income households,There is a need for affordable housing for single low income and middle income individuals.,,,"",,,,,,3,The agency will try to accommodate this issue within existing resources.,41,GEOCODE FAILED
106202416E,1,06,206,E, ,16,DOT,841,Garbage collection and recycling,Conduct traffic or parking studies,We request DOT study the effects on regional traffic resulting from its Fordham Road bus redesign proposals.,,,"",,,,,,7,Please contact the Borough Commissioner's office to discuss this request.,152,GEOCODE FAILED
102202403E,1,02,202,E, ,03,NYPD,56,Affordable housing programs,Hire additional traffic enforcement agents,Increase the 41st precinct?s funds for enhanced personnel throughout the entire district due to the increase in foot traffic and vehicle traffic. - Increase funds for enhanced school safety personnel - Increase Park Enforcement Patrol Agents Within Community District #2 (Every community board should have its own deployment unit: 1 Sgt. and 6-8 Officers),,,"",,,,,,5,NYPD's total uniformed staffing levels depend on decisions made in the Preliminary and Executive Budget process.  Allocation of uniformed personnel is scheduled by the agency only after graduation of police classes from the Academy.,42,GEOCODE FAILED
102202404C,1,02,202,C, ,04,DOT,841,Sewage and flooding,"Roadway maintenance (i.e. pothole repair, resurfacing, trench restoration, etc.)",Resurface local streets on a yearly basis. The District has a high number of vehicles traveling everyday and the roads needs yearly resurfacing.,,,"",,,,,,7,Please contact the Borough Commissioner's office to discuss this request.,43,GEOCODE FAILED
102202404E,1,02,202,E, ,04,DEP,826,Transportation infrastructure,Clean catch basins,Clean out catch basins to prevent improve drainage.,,,"",,,,,,1,More communication from residents regarding this complaint is needed. Residents affected are encouraged to contact 311 and log complaints and then to contact DEP with specific complaint numbers so that the agency can include this in ongoing maintenance and repair.,44,GEOCODE FAILED
102202405C,1,02,202,C, ,05,NYCTA,998,Sanitation Enforcement,Other transit infrastructure requests,Create a water ferry station.,,,"",,,,,,8,More information is needed from the community board before making a funding decision. The community board should contact the agency.,45,GEOCODE FAILED
102202405E,1,02,202,E, ,05,DSNY,827,Transit Infrastructure,Increase enforcement of illegal dumping laws,Increase cameras throughout the Industrial Business Zone to enforce illegal dumping.,,,"",,,,,,5,"Although the Department of Sanitation supports this program, due to fiscal constraints the availability of funds is uncertain.",46,GEOCODE FAILED
102202406E,1,02,202,E, ,06,DOHMH,816,"Park, buildings, and access improvements",Other programs to address public health issues requests,Create proper outreach coordination with the District of vector surveillance schedule.,,,"",,,,,,7,The agency will try to accommodate this issue within existing resources.,48,GEOCODE FAILED
102202407C,1,02,202,C, ,07,DPR,846,Workforce development,"Reconstruct or upgrade a park or amenity (i.e. playground, outdoor athletic field)",Install a permanent pool at Barretto Point Park.,,,"",,,,,,8,Further study by the agency of this request is needed.,49,GEOCODE FAILED
102202407E,1,02,202,E, ,07,SBS,801,"Park, buildings, and access improvements",Provide or expand occupational skills training programs,Provide job training for local residents for local jobs. The District benefits from an Industrial Business Zone and training should reflect opportunities from the iBZ.,,,"",,,,,,7,Further study by the agency of this request is needed.,50,GEOCODE FAILED
102202408C,1,02,202,C, ,08,DOHMH,816,Programs to address other public health issues,Other programs to address public health issues requests,The District can benefit from a local Emergency Center.,,,"",,,,,,7,More information is needed from the community board before making a funding decision. The community board should contact the agency.,51,GEOCODE FAILED
103202401C,1,03,203,C, ,01,NYPL,37,Garbage collection and recycling,"Create a new, or renovate or upgrade an existing public library (NYPL)",Provide for replacement of the existing boiler with a new energy-efficient model ($1.5 m - $3.015 m). This replacement will reduce energy consumption and Greenhouse Gas emissions. (secured $823k); Bronx CB 3 Capital Request #7; Tracking Code: 103201501C,,"610 East 169 Street, Bronx, New York, NY",East 169 Street,,,,,,3,"NYPL is in favor of this project; however, restored City capital funding is required.  NYPL will continue to work through the City's budget process for needed funding.  Please contact NYPL for additional information.",55,GEOCODE FAILED
